Abilene-Sweetwater	164	115630
Albany GA	150	151620
Albany-Schenectady-Troy	58	551120
Albuquerque-Santa Fe	45	710050
Alexandria LA	179	90160
Alpena	208	17100
Amarillo	130	195650
Anchorage	148	155600
Atlanta	9	2292640
Augusta-Aiken	111	262560
Austin	47	686830
Bakersfield	126	221920
Baltimore	27	1097310
Bangor	155	141580
Baton Rouge	94	333010
Beaumont-Port Arthur	141	168420
Bend OR	193	62620
Billings	168	109940
Biloxi-Gulfport	162	128150
Binghamton	157	136730
Birmingham (Ann and Tusc)	39	738790
Bluefield-Beckley-Oak Hill	156	137380
Boise	112	261810
Boston (Manchester)	7	2379690
Bowling Green	182	79990
Buffalo	51	645190
Burlington-Plattsburgh	95	323750
Butte-Bozeman	189	66910
Casper-Riverton	196	56460
Cedar Rapids-Wtrlo-IWC&Dub	89	344150
Champaign&Sprngfld-Decatur	82	386160
Charleston-Huntington	65	465030
Charleston SC	98	311260
Charlotte	25	1140900
Charlottesville	183	74630
Chattanooga	86	366790
Cheyenne-Scottsbluff	195	56640
Chicago	3	3493480
Chico-Redding	131	194590
Cincinnati	35	896090
Clarksburg-Weston	170	108980
Cleveland-Akron (Canton)	18	1514170
Colorado Springs-Pueblo	90	343160
Columbia-Jefferson City	138	176470
Columbia SC	77	404830
Columbus GA (Opelika AL)	127	215410
Columbus OH	32	932680
Columbus-Tupelo-W Pnt-Hstn	133	189910
Corpus Christi	129	203550
Dallas-Ft. Worth	5	2571310
Davenport-R.Island-Moline	100	307050
Dayton	63	493600
Denver	17	1548570
Des Moines-Ames	72	431300
Detroit	11	1842650
Dothan	169	109080
Duluth-Superior	139	173710
Elmira (Corning)	174	96600
El Paso (Las Cruces)	91	336570
Erie	146	157730
Eugene	121	241270
Eureka	194	61180
Evansville	104	287880
Fairbanks	202	37010
Fargo-Valley City	117	246780
Flint-Saginaw-Bay City	68	451880
Fresno-Visalia	55	574800
Ft. Myers-Naples	62	504240
Ft. Smith-Fay-Sprngdl-Rgrs	101	301120
Ft. Wayne	109	267710
Gainesville	163	124730
Glendive	210	4180
Grand Junction-Montrose	184	72970
Grand Rapids-Kalmzoo-B.Crk	42	722150
Great Falls	190	66190
Green Bay-Appleton	69	445760
Greensboro-H.Point-W.Salem	46	691200
Greenville-N.Bern-Washngtn	99	307610
Greenvll-Spart-Ashevll-And	37	860930
Greenwood-Greenville	187	67730
Harlingen-Wslco-Brnsvl-McA	87	361820
Harrisburg-Lncstr-Leb-York	41	729440
Harrisonburg	178	91620
Hartford & New Haven	30	1006280
Hattiesburg-Laurel	167	111560
Helena	206	28050
Honolulu	71	434730
Houston	10	2185260
Huntsville-Decatur (Flor)	80	394010
Idaho Fals-Pocatllo(Jcksn)	160	128940
Indianapolis	26	1109970
Jackson MS	93	334530
Jackson TN	176	94650
Jacksonville	50	669840
Johnstown-Altoona-St Colge	102	294770
Jonesboro	181	81300
Joplin-Pittsburg	149	153910
Juneau	207	25500
Kansas City	31	939740
Knoxville	61	527790
La Crosse-Eau Claire	128	213660
Lafayette IN	188	67260
Lafayette LA	124	229320
Lake Charles	175	94850
Lansing	115	252890
Laredo	185	72060
Las Vegas	40	737300
Lexington	64	488850
Lima	201	39350
Lincoln & Hastings-Krny	105	280310
Little Rock-Pine Bluff	56	571630
Los Angeles	2	5569780
Louisville	48	674050
Lubbock	143	160160
Macon	118	245910
Madison	85	378290
Mankato	198	53720
Marquette	180	85230
Medford-Klamath Falls	140	170670
Memphis	49	669940
Meridian	186	70190
Miami-Ft. Lauderdale	16	1583800
Milwaukee	34	907660
Minneapolis-St. Paul	15	1721940
Minot-Bsmrck-Dcknsn(Wlstn)	152	145480
Missoula	165	114590
Mobile-Pensacola (Ft Walt)	60	527930
Monroe-El Dorado	137	177410
Monterey-Salinas	125	223620
Montgomery-Selma	119	245100
Myrtle Beach-Florence	103	289060
Nashville	29	1024560
New Orleans	52	643660
New York	1	7387810
Norfolk-Portsmth-Newpt Nws	43	718750
North Platte	209	15180
Odessa-Midland	151	146040
Oklahoma City	44	712630
Omaha	76	415510
Orlando-Daytona Bch-Melbrn	19	1465460
Ottumwa-Kirksville	199	47810
Paducah-Cape Girard-Harsbg	81	393330
Palm Springs	145	158440
Panama City	159	132120
Parkersburg	192	63120
Peoria-Bloomington	116	247850
Philadelphia	4	2993370
Phoenix (Prescott)	13	1811330
Pittsburgh	23	1171490
Portland-Auburn	78	401370
Portland OR	22	1190010
Presque Isle	205	29850
Providence-New Bedford	53	620010
Quincy-Hannibal-Keokuk	171	104790
Raleigh-Durham (Fayetvlle)	24	1143420
Rapid City	173	100120
Reno	108	271020
Richmond-Petersburg	57	559390
Roanoke-Lynchburg	66	455860
Rochester NY	79	398790
Rochestr-Mason City-Austin	153	145450
Rockford	134	184360
Sacramnto-Stkton-Modesto	20	1388570
Salisbury	144	159640
Salt Lake City	33	927540
San Angelo	197	55570
San Antonio	36	880690
San Diego	28	1077600
San Francisco-Oak-San Jose	6	2506510
SantaBarbra-SanMar-SanLuOb	122	230830
Savannah	92	335080
Seattle-Tacoma	12	1811420
Sherman-Ada	161	128790
Shreveport	83	386150
Sioux City	147	157060
Sioux Falls(Mitchell)	113	261530
South Bend-Elkhart	97	322090
Spokane	73	426690
Springfield-Holyoke	114	257080
Springfield MO	75	423010
St. Joseph	200	46690
St. Louis	21	1253920
Syracuse	84	386090
Tallahassee-Thomasville	106	272520
Tampa-St. Pete (Sarasota)	14	1788240
Terre Haute	154	142780
Toledo	74	426280
Topeka	136	177710
Traverse City-Cadillac	120	244050
Tri-Cities TN-VA	96	323640
Tucson (Sierra Vista)	70	442020
Tulsa	59	529100
Twin Falls	191	65800
Tyler-Longview(Lfkn&Ncgd)	107	271400
Utica	172	104750
Victoria	204	31540
Waco-Temple-Bryan	88	353190
Washington DC (Hagrstwn)	8	2360180
Watertown	177	93090
Wausau-Rhinelander	135	181280
West Palm Beach-Ft. Pierce	38	788020
Wheeling-Steubenville	158	133120
Wichita Falls & Lawton	142	160540
Wichita-Hutchinson Plus	67	454590
Wilkes Barre-Scranton-Hztn	54	590740
Wilmington	132	190730
Yakima-Pasco-Rchlnd-Knnwck	123	230010
Youngstown	110	263850
Yuma-El Centro	166	112850
Zanesville	203	33140
