National personal identifier endonym kebab case	National personal identifier exonym kebab case	Country name endonym	Country name exonym English	Country ISO 3166-1 code	Personal identifier name endonym	Personal identifier exonym English	Wikipedia link	Description	Where to find it
alba-community-health-index	scotland-community-health-index	Alba	Scotland	GB-SCT	Community Health Index (CHI) Number	Community Health Index (CHI) Number	[National Health Service Central Register](https://en.wikipedia.org/wiki/National_Health_Service_Central_Register)	Ten-digit number identifying every patient registered with NHS Scotland; encodes the date of birth (DDMMYY), two random digits, a sex digit (odd male, even female), and a Modulus-11 check digit.	Printed on the NHS Scotland medical card, prescriptions, GP correspondence, hospital appointment letters, and the NHS Inform patient portal.
albania-numri-personal-i-identifikimit	albania-personal-identification-number	Shqipëria	Albania	AL	Numri Personal i Identifikimit (NID)	Personal Identification Number	[National identification number — Albania](https://en.wikipedia.org/wiki/National_identification_number#Albania)	Ten characters in the form YCCMMDDXYZK: Y is the last digit of the decade of birth; CC is a letter denoting the half-decade (A 1900–1904, B 1905–1909, etc.); MM is the month of birth (with +50 added for women); DD is the day; XYZ is a three-digit serial; and K is a check character (A–W) computed modulo 23.	Albanian biometric ID card (Letërnjoftim) and biometric passport issued by the General Directorate of Civil Status.
algeria-numero-d-identification-national	algeria-national-identification-number	الجزائر / Algérie	Algeria	DZ	رقم التعريف الوطني / Numéro d'Identification National (NIN)	National Identification Number (NIN)	[Identity document — Algeria](https://en.wikipedia.org/wiki/Identity_document#Algeria)	Eighteen-digit Numéro d'Identification National (NIN) issued by the Ministry of the Interior and printed on the biometric national identity card; encodes a sex marker, year of birth, the wilaya (province) and commune of the holder's civil-status registry, and a serial.	Algerian biometric National Identity Card (CNIBE) and biometric passport.
aotearoa-inland-revenue-department-number	new-zealand-inland-revenue-department-number	Aotearoa	New Zealand	NZ	Inland Revenue Department (IRD) Number / Tau IRD	Inland Revenue Department (IRD) Number	[IRD number](https://en.wikipedia.org/wiki/IRD_number)	Eight- or nine-digit unique tax identifier issued by Inland Revenue (Te Tari Taake); validated with a check digit computed using a weighted modular eleven algorithm. The companion National Health Index (NHI) number uses three letters and four digits.	IRD letters, payslips, KiwiSaver statements, the myIR online portal, and tax returns.
argentina-documento-nacional-de-identidad	argentina-national-identity-document	Argentina	Argentina	AR	Documento Nacional de Identidad (DNI)	National Identity Document (DNI)	[Documento Nacional de Identidad (Argentina)](https://en.wikipedia.org/wiki/Documento_Nacional_de_Identidad_(Argentina))	Seven- or eight-digit number issued by the Registro Nacional de las Personas (RENAPER) to every person born in or naturalised in Argentina; serves as the unique civil identifier and is independent of the Clave Única de Identificación Tributaria (CUIT) and Clave Única de Identificación Laboral (CUIL) which prefix the DNI with sex/role digits and add a check digit.	Tarjeta DNI plastic card, passport, driving licence, voter rolls, and the Mi Argentina digital identity app.
armenia-hanrayin-tsarayutyunneri-hamaranishe	armenia-public-services-number	Հայաստան	Armenia	AM	Հանրային ծառայությունների համարանիշ (HSN)	Public Services Number (PSN/HSN)	[National identification number — Armenia](https://en.wikipedia.org/wiki/National_identification_number#Armenia)	Ten-digit unique identifier assigned by the Public Services Number Service to every Armenian citizen and resident; introduced in 2012 to replace separate tax, social-insurance, and civil identifiers.	Armenian biometric identity card (անձնագիր) and biometric passport.
australia-individual-healthcare-identifier	australia-individual-healthcare-identifier	Australia	Australia	AU	Individual Healthcare Identifier (IHI)	Individual Healthcare Identifier (IHI)	[My Health Record](https://en.wikipedia.org/wiki/My_Health_Record)	Unique 16-digit number assigned by the Healthcare Identifiers Service to each person receiving healthcare in Australia, used to link records in My Health Record and other national digital health services.	Medicare online account, the My Health Record portal, hospital admission paperwork, and clinical correspondence.
australia-tax-file-number	australia-tax-file-number	Australia	Australia	AU	Tax File Number (TFN)	Tax File Number (TFN)	[Tax file number](https://en.wikipedia.org/wiki/Tax_file_number)	Eight- or nine-digit personal reference number issued by the Australian Taxation Office (ATO) for tax and superannuation purposes; validated using a weighted check-digit algorithm (weights 1,4,3,7,5,8,6,9,10 modulo 11).	Notice of Assessment, payment summaries / income statements, the myGov / ATO online portal, and superannuation correspondence.
azerbaycan-ferdi-identifikasiya-nomresi	azerbaijan-personal-identification-number	Azərbaycan	Azerbaijan	AZ	Fərdi İdentifikasiya Nömrəsi (FIN)	Personal Identification Number (FIN)	[National identification number — Azerbaijan](https://en.wikipedia.org/wiki/National_identification_number#Azerbaijan)	Seven alphanumeric characters issued by the State Migration Service of the Republic of Azerbaijan; appears on the identity card and is used as a permanent personal identifier in all government databases.	Azerbaijani national identity card (Şəxsiyyət vəsiqəsi) and the ASAN e-government portal.
bahrain-cpr-number	bahrain-personal-number	البحرين	Bahrain	BH	الرقم الشخصي (Raqm Shakhṣī) / CPR Number	Personal Number / CPR Number	[Identity document — Bahrain](https://en.wikipedia.org/wiki/Identity_document#Bahrain)	Nine-digit Central Population Register (CPR) number assigned to every Bahraini citizen and resident at birth or upon receipt of a residence permit; the first two digits represent the year of registration and the remaining digits are a serial.	Bahraini Smart Card (Identity Card / CPR card) issued by the Information and eGovernment Authority (iGA), and the eKey single sign-on for government services.
